ID,Description,TImesUsed
223,MOMENTUM SANDY ,1
224,MONEY ORDER,1
225,MOOD DESIGNER F,1
226,MTA VENDING,3
227,MYRTLE ROSE PAR,1
228,NATNL AUTO PRTE,1
229,Netflix,16
230,BELLA ELLA ,1
231,BOHME      ,3
232,C-A-L RANCH,1
233,JACOB LAKE ,1
234,NNT SEARS ROEBU,1
235,NOODLES & CO,2
236,Not Watsons Kit,1
237,NOTHING BUNDT,4
238,NUTRITIONAL SPORT,1
239,NWS POST MART O,1
240,OAK WOOD FIRE K,1
241,OFFICIAL CHECKS,2
242,OLD SPAGHETTI,1
243,OLIVE GARDEN,7
244,FORD LOCKER,1
245, MIKAROSE   ,1
246,ZURCHERS,1
247,US TREASURY,2
248,ORANGE JULIUS,2
249, ,0
250,FLORAL,1
251,OUT N BACK,4
252,OVERDRAWN EFT,4
253,PANDA EXPRESS,4
254,PANDA-CONCOURSE,1
255,PANERA BREAD,1
256,PAPA JOHN'S,3
257,PAPA MURPHY'S,3
258,PARAMOUNT,9
259,PASSION PLANNER,4
260,PAYLESS SHOES,3
261,PAYPAL,10
262,PEI WEI ,1
263,PET URGENT CARE,1
264,PETCO,4
265,PETERSON'S FRES,1
266,PETSMART,2
267,PHOTOAFFECTIONS,1
268,PICMONKEY,26
269,PINKBLUSH,1
270,PIZZAREV 2 STUD,1
271,PIZZERIA LIMONE,2
272,PLAY IT AGAIN,1
273,POCO LOCO,1
274,POINT OF SALE,76
275,POSHMARK,2
276,POSTMATES,4
277,POTBELLY,1
278,PRETZEL,1
279,PRETZELMAKER,8
280,Prime Video,16
281,PROTEINFOUNDRY,1
282,PROVO GROUP,1
283,PUBLIX SUPER,1
284,RACHEL'S SALON ,1
285,Ready Gunner,1
286,RED ROBIN,1
287,REDBOX,3
288,RELIK SALON,2
289,RGO RESUMES,1
290,RIBBONWOOD ANIM,1
291,RIDLEY'S FAMILY,4
292,RIVERWOODS PET ,1
293,ROCKY MOUNTAIN ,5
294,ROCKYMTN/PACIFI,19
295,ROMANOS,1
296,ROSE CAFÉ,1
297,ROXBERRY JUICE ,1
298,RUFF HOUSE OREM,7
299,RUMBI ISLAND GR,1
300,S & S FOODS SUP,1
301,SALLY BEAUTY,5
302,SALON INNOVATION,1
303,SALONCENTRIC,5
304,SALT LAKE COMMU,2
305,SAMSONITE FCTRY,1
306,SAVERS,2
307,SBARRO'S ,1
308,SCERA POOL OREM,1
309,SEASIDE BURGER ,1
310,SHELL,2
311,SHOPKO,3
312,SL COMM COLL MK,1
313,LHMILLER,1
314,SLCC TAYLORSVIL,2
315,SMITHS,89
316,SOCIETY6,2
317,SONIC DRIVE IN ,1
318,AURA ,1
319,BIG MOODS,1
320,BOHOWILD,2
321,BOINCA,1
322,BORBOLETA,25
323,COSSETBATH,1
324,COZY COTTO,1
325, EBLLASHES ,16
326,ELLEN'S,2
327,J BRAND,2
328,LASH BOX,2
329,LASHORDER,8
330,LUXOME,1
331,MEBIEBABY ,1
332,ONE LOVED ,1
333,ONE TRIBE ,1
334,SUGAR LASH,1
335,UNTAMED-AR,2
336,SPENCER GIFTS,1
337,Spotify,42
338,SPRINT,2
339,SPROUTS FARMERS,7
340,BEVERA,1
341,SOUTH E,1
342,none,0
343,BLUE POBLAN,1
344,BLUETIQUE,1
345,CHIP COOKIE,9
346,CORNBELLY'S,1
347,CORNDOG COM,1
348,CRISPY GRIN,1
349,CRUMBL ,7
350,CUPBOP,1
351,DIAMOND,3
352,DONUT,1
353,FAMILY,1
354,FLEEK,2
355,GUIDED,1
356,GUY AND GAL,1
357,HALEIWA,1
358,IVY ROSE,1
359,LA BARBA,4
360,PIZZERIA,8
361,PROVO BAKER,1
362,RUGGED GROU,1
363,TAMMY REBOL,1
364,TESTING SER,1
365,CHOCOLATE,2
366,COFFEE ,3
367,THE DOJO PE,1
368,WAFFLE LOVE,1
369,npn,3
370,Square Inc     ,9
371,STARBUCKS,6
372,STATE FARM,31
373,STATE LIQUOR,2
374,STATION 22,1
375,STOGIES,1
376,STORE 159,1
377,STUDIO CITY,1
378,SUBWAY,9
379,SWIG N SWEETS,1
380,SWIMOUTLET.COM ,2
381,TACO BELL,31
382,TAILOR BRANDS,2
383,TARGET,30
384,TAXI,1
385,TESORO,1
386,TEXACO ,1
387,TEXAS ROADHOUSE,3
388,THE FLEX COMPANY,2
389,THE HOME DEPOT ,1
390,THE NAIL EXPO,1
391,THEPARADISEPACK,3
392,THREE BROOMSTIC,1
393,TJMAXX,1
394,THE PIANO GUYS,1
395,TOTAL SCRUBS,2
396,TRAVEL GUARD,1
397,TRAVEL INSURANCE,1
398,TROPICAL SMOOTH,8
399,COSTA VIDA,32
400,EVEN STEVE,1
401, JAMBA JUIC,4
402,NOTHING BUNT,1
403,UBER,18
404,UDEMY,1
405,UNAR,1
406,UNIV STUDIOS,1
407,URBAN OUTFITTER,3
408,USPS ,4
409,UT PROF LIC,1
410,UTA-FRONTRUNNER,20
411,UTAH CNA ,1
412,DMV,2
413,UVU            ,9
414,VENICE BEACH,2
415,VENMO          ,41
416,VICTORIA'S SECRET,2
417,VILLA DE SOL,1
418,VILLA ITALIAN,1
419,VILLAGE BAKER,1
420,VISA,144
421,VISTAPRINT,3
422,VOGMASK,1
423,Wal-Mart,12
424,WALGREENS,15
425,WAYFAIR,1
426,WEB UTILITIES,1
427,WENDYS,12
428,WHISKEY STREET ,1
429,WHOLEFDS,2
430,WIENERSCHNITZEL,2
431,WILD IVY BLOW DRY,1
432,WISH.COM,15
433,WITHDRAWAL,2
434,WIX.COM,11
435,WM SUPERCENTER ,7
436,David Lydda,1
437,GoFundMe,2
438,Jacob Evans,1
439,LAS VEGAS,1
440,Medical ,1
441,Sydneys,1
442,YouCaring,2
443,NASTYGAL,1
444,POMELOTRAVE,1
445,YMAD.ORG,1
446,ZAO,2
447,ZENREZ.COM,1
448,ZENREZ.COM 8054,1
449,ZENREZ.COM 8055,1
450,ZENREZ.COM 8056,1
451,ZIPS VALLEY,1
452,ZULILY,1
